id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
11,54,2101,593,299,645,352,617,325,56.627990307516406,47.73353777246998,193.0,110.65587815326035,84.0
12,54,1622,565,378,616,427,591,402,57.077285476737295,36.548301897972294,164.0,106.99876695437732,85.0
13,54,1691,243,251,289,306,265,278,57.19080771097826,38.07267686119661,135.0,97.40449438202248,84.0
14,54,1590,224,315,265,367,245,341,51.79144531126017,39.248592886944635,167.0,103.87924528301886,85.0
15,54,1468,684,238,739,275,710,255,53.57685854932267,35.37179163624652,124.0,97.65599455040872,83.0
16,54,2346,628,234,679,293,653,263,59.155832587651766,50.77091090173915,112.0,95.51449275362319,83.0
17,54,2404,644,506,693,570,668,539,63.5965329634162,48.36438031106004,119.0,95.50374376039933,83.0
18,54,1389,711,547,753,597,732,570,49.021349629400554,36.84911635883069,109.0,94.90424766018718,84.0
19,54,1705,79,345,132,393,105,369,57.415650590056764,38.03768302995004,120.0,98.05278592375366,85.0
20,54,1505,142,311,191,356,166,333,54.94976906676764,35.59956722663997,123.0,96.66511627906976,83.0
21,54,550,610,0,650,19,631,7,38.508745403869064,19.34965791181567,107.0,94.42181818181818,85.0
25,54,850,508,333,548,373,528,355,38.66806541528712,32.90751397794471,132.0,99.73411764705882,85.0
26,54,1713,450,286,498,332,475,308,51.322468108082425,42.82036216963245,126.0,97.56042031523643,85.0
29,54,1556,143,604,186,657,165,630,52.892461820956015,37.599418703599376,116.0,96.73714652956298,84.0
30,54,1203,133,669,167,720,149,693,50.82681686184203,30.34581311086351,119.0,97.81296758104739,85.0
