id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
29,97,2481,134,578,194,633,163,604,61.026415997425666,52.02510473315124,174.0,105.17009270455462,85.0
30,97,2019,41,643,93,700,68,671,54.34918932512236,47.844564485129396,165.0,108.10698365527489,86.0
31,97,1683,640,376,688,424,664,400,47.91527751969381,45.195051821174985,142.0,103.12002376708259,85.0
32,97,2769,628,296,688,357,657,326,60.19414526605706,58.82625266869582,121.0,97.89671361502347,80.0
33,97,1756,571,394,628,438,599,417,55.301878757961404,40.897767706870376,121.0,98.28075170842824,84.0
34,97,1408,603,448,645,492,623,469,43.1581821168613,41.827336917741135,128.0,100.37286931818181,85.0
35,97,1435,243,304,287,348,265,326,44.93441144504558,40.833148518573104,137.0,98.96306620209059,85.0
36,97,1366,183,306,222,352,202,328,47.258319095492965,36.897697307180316,142.0,103.79502196193265,84.0
38,97,989,586,0,639,25,613,10,52.04840288325303,25.716306375879572,107.0,94.61172901921132,83.0
39,97,1588,275,229,327,271,301,249,51.212997276813795,39.719470887978936,131.0,99.9823677581864,85.0
40,97,1530,233,242,276,295,253,268,56.61550160058066,34.520556171837356,144.0,103.7562091503268,84.0
41,97,1451,685,186,722,244,702,216,57.55156098960485,33.377030701786914,187.0,106.29841488628531,84.0
42,97,1463,714,171,763,212,737,191,48.76193266261214,38.57710302890742,143.0,102.49897470950103,85.0
43,97,1559,641,222,681,276,660,249,53.44704465644007,37.25013858527512,135.0,103.48941629249519,80.0
44,97,1563,598,267,643,321,621,294,58.730772815887335,34.90733870154462,143.0,101.43570057581574,84.0
45,97,1165,138,295,181,331,159,312,42.46999285587947,35.05260894417311,125.0,100.83261802575107,86.0
46,97,1401,157,357,197,404,177,381,49.79379529745525,36.15859156849152,138.0,104.14489650249821,83.0
47,97,2031,596,548,647,601,622,573,53.94167681345248,48.38733524895523,150.0,99.89118660758247,84.0
48,97,1134,672,504,706,553,689,527,50.099798171546844,29.45563554514302,138.0,101.2363315696649,85.0
49,97,1450,91,331,136,373,113,352,48.451073854440715,38.46527393263963,141.0,102.26137931034482,86.0
50,97,1138,55,368,100,407,77,388,48.29482686117401,30.25616071369283,181.0,108.68717047451669,85.0
51,97,1772,656,563,702,614,680,587,50.10112212907546,45.538039828228506,129.0,100.43848758465012,84.0
52,97,1163,628,624,667,664,649,644,39.851155347635284,37.68535588703103,124.0,97.8323301805675,85.0
54,97,1213,635,0,678,37,655,19,43.313628179142356,36.12690223426796,149.0,100.28689200329761,86.0
55,97,822,499,355,537,387,517,370,38.061824330338816,28.074905476672036,130.0,101.8698296836983,85.0
56,97,937,558,345,592,383,574,364,37.627250395124655,32.087913354965075,153.0,110.65635005336179,84.0
59,97,1764,437,269,485,318,461,293,50.35156123282545,44.729471305546,203.0,114.26643990929705,87.0
60,97,1252,495,292,540,332,517,310,47.16517006724149,34.103880360550264,166.0,112.370607028754,85.0
