id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
1,27,1154,668,550,728,597,698,574,77.47739910473689,25.369368167141463,143.0,103.63604852686308,85.0
2,27,2283,115,309,174,362,142,336,65.84785680677972,44.58611371327517,241.0,110.36793692509856,84.0
4,27,1672,127,619,179,665,152,642,54.6869418890883,39.32659330262809,142.0,105.2846889952153,85.0
6,27,366,0,635,26,654,11,644,29.35206316865911,17.32179927674509,142.0,110.0327868852459,88.0
7,27,2618,480,305,531,371,505,338,66.08416822065801,50.63666047835708,178.0,114.82964094728801,86.0
11,27,1415,592,305,639,346,615,325,47.23872097559823,38.57696589467099,145.0,106.18798586572439,85.0
12,27,1117,567,370,612,404,589,387,44.48594110315218,32.16687146870879,131.0,103.29364368845121,87.0
13,27,1242,245,276,288,319,266,297,48.45782934246792,32.81802172531198,147.0,105.44927536231884,82.0
14,27,1170,209,319,257,353,232,336,48.338154052583526,30.97881372174514,164.0,109.00854700854701,85.0
15,27,937,699,221,728,265,713,242,45.01171314882657,26.63148351160322,151.0,109.87726787620063,85.0
16,27,1563,635,236,686,277,660,256,52.52749081930109,38.091601840757455,146.0,105.28598848368522,85.0
