id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
29,103,2561,131,558,199,612,164,586,70.78128403889905,46.89189328381048,159.0,104.8352206169465,83.0
31,103,1735,634,367,680,420,657,394,50.9921037302696,43.61225200785942,155.0,102.07665706051873,84.0
32,103,2843,626,301,693,361,658,330,67.52828478212044,53.776547935589015,131.0,100.44002813928948,84.0
33,103,1832,571,391,628,436,599,414,56.1796532839771,42.07738673806297,122.0,98.27510917030568,84.0
34,103,1711,603,458,651,507,625,482,50.863612341265366,43.016693600953054,122.0,99.24430157802455,85.0
35,103,1545,240,291,290,335,265,312,51.317269401400935,38.67027301178808,135.0,96.82588996763754,84.0
36,103,1666,184,297,228,349,205,322,49.62980870385347,42.8553545948527,133.0,99.8343337334934,83.0
38,103,957,594,0,651,23,622,9,55.5737537189993,23.448352903349335,112.0,94.98328108672936,84.0
39,103,1634,273,226,324,270,298,247,52.93866341460386,39.47991074343306,134.0,98.60036719706243,84.0
40,103,1661,217,238,259,295,237,265,58.21636964313175,36.49625562698631,136.0,98.81336544250452,84.0
41,103,1797,686,180,726,245,705,213,62.30565811446816,37.442787487190834,191.0,103.50584307178632,85.0
42,103,1535,715,153,761,197,737,174,47.930746371765984,40.884766144643805,143.0,100.28534201954398,85.0
43,103,1742,634,213,675,268,653,240,56.0368303567913,39.70575956938702,121.0,99.33926521239954,82.0
44,103,1706,596,265,639,322,617,295,57.70231132462159,38.10778819217167,125.0,97.41676436107855,85.0
45,103,1252,141,285,183,327,162,304,46.32391913961893,34.568385309483375,120.0,100.25,83.0
46,103,1447,157,353,197,404,176,378,49.65527268151208,37.3223996262596,128.0,100.00483759502418,83.0
47,103,2266,580,542,640,594,610,568,57.98224279530415,50.12291113220541,175.0,99.33230361871139,83.0
48,103,1279,665,501,698,554,682,527,56.05694550019296,29.66247645700768,145.0,102.573885848319,86.0
49,103,1465,99,339,144,381,120,359,46.838549896276156,40.11347302550862,133.0,99.33515358361775,86.0
50,103,1220,47,363,93,403,69,383,47.24378800514873,33.069002096441864,130.0,101.33770491803278,86.0
51,103,1986,652,568,702,623,676,594,54.389989141985524,46.993329512897674,125.0,98.37865055387714,86.0
52,103,1378,633,636,679,678,656,657,44.19000349553177,40.25622614357612,118.0,96.6654571843251,84.0
54,103,1369,638,6,683,45,659,26,45.51836359401097,38.70762033756245,136.0,97.66325785244705,84.0
55,103,1919,485,359,539,406,513,382,54.797574959980736,44.88811011280148,191.0,105.40854611776967,87.0
56,103,1238,549,355,594,396,571,376,45.7926659454992,34.83266132865964,157.0,109.09450726978999,86.0
59,103,1789,435,264,483,316,459,289,52.75023857553701,43.43770792677495,184.0,108.47568474007825,83.0
60,103,1528,491,308,543,347,517,326,52.22924087984515,37.60123948123031,198.0,105.94895287958116,84.0
63,103,167,0,513,7,551,2,534,35.60042541965016,6.667358003952087,126.0,96.74251497005989,87.0
65,103,1218,35,679,82,717,58,698,49.68405347047819,34.52155790141052,162.0,107.23399014778325,88.0
66,103,1123,44,648,83,689,63,668,44.35505369100905,32.517914773070956,158.0,107.30454140694569,88.0
