id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
4,44,1503,121,623,176,660,149,641,54.470772856929315,35.75000175410028,220.0,110.60146373918829,85.0
11,44,2123,606,312,657,368,631,338,55.09507528682181,49.506196558773944,128.0,98.79698539802166,84.0
12,44,1579,571,377,620,426,594,401,56.45756646396468,36.33691155587194,118.0,99.09689677010766,84.0
13,44,1378,235,266,284,311,259,290,52.24869291334185,34.05306710373548,138.0,101.50943396226415,86.0
14,44,1463,218,319,270,358,243,338,51.47697621302127,36.35677394879896,139.0,100.91797676008203,83.0
15,44,1447,703,229,757,265,729,247,53.66552538339752,34.425732964308054,122.0,98.4899792674499,86.0
16,44,1956,633,238,683,293,657,265,58.38711727427447,42.903780817933246,128.0,98.80981595092024,83.0
17,44,2124,643,520,693,578,668,549,57.84227701065278,46.9632804770585,124.0,98.63983050847457,83.0
18,44,1113,715,549,750,591,733,570,41.369873525404394,34.80375539575437,109.0,96.00898472596586,83.0
19,44,1617,103,331,143,387,121,360,55.6149212933242,37.90824718304777,127.0,99.94867037724181,85.0
20,44,1324,167,316,208,363,187,339,48.82274612249824,34.762681219353695,146.0,101.60876132930514,84.0
25,44,940,508,335,547,368,526,350,40.80987257572036,30.588690405962755,147.0,101.10212765957446,83.0
26,44,277,470,311,489,336,480,323,23.140219833010022,16.436646569564072,114.0,100.3971119133574,87.0
