id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
11,56,2109,602,311,654,363,627,336,52.84002538636426,51.311748887465,258.0,116.63015647226173,83.0
12,56,1529,570,389,616,438,593,413,52.49365186296671,37.45774172060365,174.0,110.98430346631785,86.0
13,56,1898,235,256,287,306,260,281,58.65623382487513,41.75194307181441,135.0,97.82244467860906,84.0
14,56,1554,218,319,259,370,239,345,49.56738291950174,40.06979808149854,155.0,104.25933075933077,84.0
15,56,1437,688,230,740,268,715,249,52.89158868668259,35.07998046858236,129.0,98.33542101600557,85.0
16,56,1979,630,233,675,292,654,263,59.20645743354627,43.17902139272212,111.0,95.81303688731683,83.0
17,56,2334,638,510,691,572,666,541,63.10609354037754,47.277223136447674,119.0,96.12382176520994,84.0
18,56,1299,703,560,746,605,723,581,49.161770126021906,34.37096854482903,108.0,94.83294842186297,84.0
19,56,1801,84,348,136,399,110,374,59.6964927881572,38.69363426734136,125.0,97.85619100499723,84.0
20,56,1619,138,311,191,360,164,335,59.8899118760707,35.25462457425714,125.0,96.61828289067326,82.0
21,56,903,609,0,659,25,636,10,47.47980263551124,25.782104974918933,109.0,95.29125138427464,83.0
25,56,1280,507,330,552,376,528,354,44.5942064564865,39.7779906182506,133.0,97.7046875,86.0
26,56,792,457,291,495,330,473,312,38.15465675281027,32.080961089286866,119.0,97.18055555555556,85.0
29,56,1561,142,614,188,660,165,637,50.25741302803408,39.69681055728456,120.0,96.68417680973735,83.0
30,56,1083,132,677,166,723,148,699,48.181456389446936,28.763502675913646,125.0,98.21329639889197,86.0
