id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
4,35,1449,123,629,174,672,149,651,54.78305146737576,34.08810257778615,133.0,102.81849551414768,85.0
6,35,17,0,617,2,628,0,622,10.99736121742938,1.9040799095161636,110.0,96.23529411764706,90.0
7,35,2385,471,313,530,371,501,341,64.48755567416113,47.35914500785146,296.0,117.03605870020964,85.0
11,35,1661,605,312,651,359,627,334,47.158466050010404,45.16109659504632,137.0,101.43949428055389,86.0
12,35,1449,576,366,614,418,594,391,51.26043791438029,36.1543411403641,147.0,101.90683229813665,86.0
13,35,1137,234,270,269,317,251,294,48.208632488950556,30.580179310124468,148.0,103.71943711521548,83.0
14,35,1109,206,320,253,351,229,335,47.19041179391076,29.98026805186794,137.0,102.60595130748422,86.0
15,35,1100,707,230,754,262,729,245,47.31383268864262,29.78769538990405,133.0,103.08363636363636,83.0
16,35,1689,639,231,690,276,664,253,53.87226022936452,40.10641317257161,136.0,101.58910597986974,85.0
17,35,1195,643,539,683,580,663,560,40.65723301145746,37.992551252728745,130.0,102.19414225941422,86.0
18,35,396,706,565,732,591,719,578,25.443045262650877,21.04104131943967,126.0,101.13636363636364,88.0
19,35,1440,111,329,150,378,132,354,52.73428859495165,35.41446081446694,147.0,104.50833333333334,84.0
20,35,1137,152,327,196,363,174,344,50.31707964890119,29.05255812023273,157.0,103.87335092348285,85.0
